Gemeente;NIS-code;Indicator;Jaar;Type;Mediaanprijs (in euro)
Vlaams Gewest;2000;Mediaanprijs huizen;2010;Alle huizen;200000,0
Vlaams Gewest;2000;Mediaanprijs huizen;2010;Gesloten/halfopen bebouwing;180000,0
Vlaams Gewest;2000;Mediaanprijs huizen;2010;Open bebouwing;267500,0
Vlaams Gewest;2000;Mediaanprijs huizen;2011;Alle huizen;209000,0
Vlaams Gewest;2000;Mediaanprijs huizen;2011;Gesloten/halfopen bebouwing;187500,0
Vlaams Gewest;2000;Mediaanprijs huizen;2011;Open bebouwing;277500,0
Vlaams Gewest;2000;Mediaanprijs huizen;2012;Alle huizen;217500,0
Vlaams Gewest;2000;Mediaanprijs huizen;2012;Gesloten/halfopen bebouwing;195000,0
Vlaams Gewest;2000;Mediaanprijs huizen;2012;Open bebouwing;285000,0
Vlaams Gewest;2000;Mediaanprijs huizen;2013;Alle huizen;220000,0
Vlaams Gewest;2000;Mediaanprijs huizen;2013;Gesloten/halfopen bebouwing;200000,0
Vlaams Gewest;2000;Mediaanprijs huizen;2013;Open bebouwing;285000,0
Vlaams Gewest;2000;Mediaanprijs huizen;2014;Alle huizen;225000,0
Vlaams Gewest;2000;Mediaanprijs huizen;2014;Gesloten/halfopen bebouwing;200000,0
Vlaams Gewest;2000;Mediaanprijs huizen;2014;Open bebouwing;287000,0
Vlaams Gewest;2000;Mediaanprijs huizen;2015;Alle huizen;230000,0
Vlaams Gewest;2000;Mediaanprijs huizen;2015;Gesloten/halfopen bebouwing;207000,0
Vlaams Gewest;2000;Mediaanprijs huizen;2015;Open bebouwing;295000,0
Vlaams Gewest;2000;Mediaanprijs huizen;2016;Alle huizen;235000,0
Vlaams Gewest;2000;Mediaanprijs huizen;2016;Gesloten/halfopen bebouwing;210000,0
Vlaams Gewest;2000;Mediaanprijs huizen;2016;Open bebouwing;305000,0
Vlaams Gewest;2000;Mediaanprijs huizen;2017;Alle huizen;240000,0
Vlaams Gewest;2000;Mediaanprijs huizen;2017;Gesloten/halfopen bebouwing;219000,0
Vlaams Gewest;2000;Mediaanprijs huizen;2017;Open bebouwing;306000,0
Vlaams Gewest;2000;Mediaanprijs huizen;2018;Alle huizen;250000,0
